Country,Date ,Confirmed,Deaths,Recovered
US,22-01-2020,5,0,0
US,29-01-2020,11,0,0
US,04-02-2020,12,0,3
US,11-02-2020,13,0,3
US,18-02-2020,51,0,6
US,25-02-2020,118,7,7
US,03-03-2020,959,28,8
US,10-03-2020,6421,108,17
US,17-03-2020,53740,706,348
US,24-03-2020,161807,2978,5644
US,31-03-2020,188172,3874,7024
US,07-04-2020,397121,12794,21763
US,14-04-2020,607670,25843,47763
US,21-04-2020,812036,44444,75204
